File,OwnerName,IsDir,IsOff,IsTen,SecTitle,TransDate,Shares,PPS,ADCode,SharesAfter,DIOwner
0001225208-13-006477,READ IAN C,1,1,0,Common Stock,2013-02-28,85005.0000,0.0000,A,1334785.0000,D
0001225208-13-006477,READ IAN C,1,1,0,Common Stock,2013-02-28,42969.0000,27.3700,D,1291816.0000,D
0001225208-13-006477,READ IAN C,1,1,0,Common Stock,2013-02-28,168120.0000,27.3700,D,1123696.0000,D
0001225208-13-006479,SCHULMAN AMY W,0,1,0,Common Stock,2013-02-28,36430.0000,0.0000,A,284560.0000,D
0001225208-13-006479,SCHULMAN AMY W,0,1,0,Common Stock,2013-02-28,27943.0000,0.0000,A,312503.0000,D
0001225208-13-006479,SCHULMAN AMY W,0,1,0,Common Stock,2013-02-28,20336.0000,27.3700,D,292167.0000,D
0001225208-13-006487,SUSMAN SALLY,0,1,0,Common Stock,2013-02-28,77362.0000,22.5500,A,282251.0000,D
0001225208-13-006487,SUSMAN SALLY,0,1,0,Common Stock,2013-02-28,41288.0000,0.0000,A,323539.0000,D
0001225208-13-006487,SUSMAN SALLY,0,1,0,Common Stock,2013-02-28,18629.0000,0.0000,A,342168.0000,D
0001225208-13-006487,SUSMAN SALLY,0,1,0,Common Stock,2013-02-28,23047.0000,27.3700,D,319121.0000,D
0001225208-13-006487,SUSMAN SALLY,0,1,0,Common Stock,2013-02-28,67535.0000,27.3700,D,251586.0000,D
0001225208-13-006488,YOUNG JOHN D,0,1,0,Common Stock,2013-02-28,26871.0000,22.5500,A,63898.0000,D
0001225208-13-006488,YOUNG JOHN D,0,1,0,Common Stock,2013-02-28,21291.0000,0.0000,A,85189.0000,D
0001225208-13-006488,YOUNG JOHN D,0,1,0,Common Stock,2013-02-28,20492.0000,0.0000,A,105681.0000,D
0001225208-13-006488,YOUNG JOHN D,0,1,0,Common Stock,2013-02-28,10495.0000,27.3700,D,95186.0000,D
0001225208-13-006488,YOUNG JOHN D,0,1,0,Common Stock,2013-02-28,22953.0000,27.3700,D,72233.0000,D
0001225208-13-007040,YOUNG JOHN D,0,1,0,Common Stock,2013-03-06,14713.0000,28.1300,D,57520.0000,D
0001225208-13-007041,HILL CHARLES H,0,1,0,Common Stock,2013-03-06,2100.0000,28.1120,D,94085.0000,D
0001225208-13-007041,HILL CHARLES H,0,1,0,Common Stock,2013-03-06,4095.0000,28.1700,D,89990.0000,D
0001225208-13-007041,HILL CHARLES H,0,1,0,Common Stock,2013-03-06,6960.0000,28.1130,D,83030.0000,D
0001225208-13-007041,HILL CHARLES H,0,1,0,Common Stock,2013-03-06,8657.0000,28.0130,D,74373.0000,D
0001225208-13-007042,Dolsten Mikael,0,1,0,Common Stock,2013-03-06,13781.0000,28.1200,D,321722.0000,D
0001225208-13-007042,Dolsten Mikael,0,1,0,Common Stock,2013-03-06,16801.0000,28.1100,D,304921.0000,D
0001225208-13-007043,BRANDICOURT OLIVIER,0,1,0,Common Stock,2013-03-06,500.0000,28.1000,D,303940.0000,D
0001225208-13-007043,BRANDICOURT OLIVIER,0,1,0,Common Stock,2013-03-06,2430.0000,28.1600,D,301510.0000,D
0001225208-13-007043,BRANDICOURT OLIVIER,0,1,0,Common Stock,2013-03-06,4100.0000,28.1700,D,297410.0000,D
0001225208-13-007043,BRANDICOURT OLIVIER,0,1,0,Common Stock,2013-03-06,9500.0000,28.1300,D,287910.0000,D
0001225208-13-007043,BRANDICOURT OLIVIER,0,1,0,Common Stock,2013-03-06,13000.0000,28.1200,D,274910.0000,D
0001225208-13-007043,BRANDICOURT OLIVIER,0,1,0,Common Stock,2013-03-06,13800.0000,28.1100,D,261110.0000,D
0001225208-13-007043,BRANDICOURT OLIVIER,0,1,0,Common Stock,2013-03-06,13970.0000,28.1500,D,247140.0000,D
0001225208-13-007043,BRANDICOURT OLIVIER,0,1,0,Common Stock,2013-03-06,56064.0000,28.1400,D,191076.0000,D
0001225208-13-007044,SUSMAN SALLY,0,1,0,Common Stock,2013-03-06,53196.0000,28.1300,D,198390.0000,D
0001225208-13-007044,SUSMAN SALLY,0,1,0,Common Stock,2013-03-07,3383.0000,28.2700,D,0.0000,I
0001225208-13-007212,MADDALUNA ANTHONY J,0,1,0,Common Stock,2013-03-08,8900.0000,28.1400,D,69524.0000,D
0001225208-13-007212,MADDALUNA ANTHONY J,0,1,0,Common Stock,2013-03-08,10100.0000,28.1500,D,59424.0000,D
0001225208-13-007708,LANKLER DOUGLAS M,0,1,0,Common Stock,2013-03-13,15000.0000,28.0040,D,88523.0000,D
0001225208-13-007709,Germano Geno J,0,1,0,Common Stock,2013-03-14,40000.0000,28.0000,D,224392.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,100.0000,29.4200,D,585582.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,100.0000,29.3800,D,585482.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,200.0000,29.2400,D,585282.0000,D
0001225208-13-012562,DAMELIO FRANK A,0,1,0,Common Stock,2013-05-15,900.0000,29.2800,D,584382.0000,D
